"Timestamp","PM2.5 [ug/m3]","PM10[ug/m3]","Ozone [ppb]","Carbon_Monoxide [ppb]","Temperature [°C]","Relative_Humidity [%]"
"31/01/2022 12:00:00","13.1818181818182","14.1818181818182","456.090909090909","371.909090909091","20.4136363636364","28.7981818181818"
"31/01/2022 13:00:00","16.3333333333333","17.3333333333333","78.8333333333333","405.75","22.8516666666667","22.7533333333333"
"31/01/2022 14:00:00","25.48","26.8933333333333","44.28","407.946666666667","24.9106666666667","19.6261333333333"
"31/01/2022 15:00:00","26.7010582010582","28.3439153439153","39.462962962963","405.02380952381","25.4439153439154","19.0028306878307"
"31/01/2022 16:00:00","32.1666666666667","34.1666666666667","33.9166666666667","399.416666666667","23.1525","22.0966666666667"
"31/01/2022 17:00:00","37.5","39.5","37.6666666666667","388.833333333333","19.7125","28.3766666666667"
"31/01/2022 18:00:00","23.6666666666667","25.1666666666667","39","388.75","17.965","31.5216666666667"
"31/01/2022 19:00:00","9.18181818181818","10.1818181818182","36.5454545454545","395.636363636364","16.6572727272727","34.8454545454545"
"31/01/2022 20:00:00","9.66666666666667","10.6666666666667","36","421.666666666667","15.515","37.8241666666667"
"31/01/2022 21:00:00","14.9166666666667","16","32.25","395.583333333333","14.7166666666667","41.245"
"31/01/2022 22:00:00","23.6666666666667","25.3333333333333","29.0833333333333","452.666666666667","13.5925","45.4941666666667"
"31/01/2022 23:00:00","18.75","19.75","28.0833333333333","418.916666666667","12.8333333333333","45.0175"
"01/02/2022 0:00:00","18.4444444444444","19.4444444444444","29.2222222222222","378","12.8188888888889","43.7533333333333"
"01/02/2022 1:00:00","30.6","32.3","29","369.4","12.242","41.531"
"01/02/2022 2:00:00","10.8181818181818","11.9090909090909","23.7272727272727","363.181818181818","12.8754545454545","38.8781818181818"
"01/02/2022 3:00:00","27.2","28.6","22","361.6","12.726","37.952"
"01/02/2022 5:00:00","17.1666666666667","18.3333333333333","25.6666666666667","437.166666666667","10.7716666666667","45.4233333333333"
"01/02/2022 6:00:00","17.125","18.25","28.625","455.625","10.5375","47.3325"
"01/02/2022 7:00:00","14","15","30","495.5","10.915","48.1075"
"01/02/2022 8:00:00","10","11","22.5","421.25","13.14625","40.7825"
"01/02/2022 9:00:00","10.0833333333333","11.0833333333333","19.75","394.833333333333","15.8283333333333","29.1775"
"01/02/2022 11:00:00","26.4166666666667","27.8333333333333","19.75","401.25","20.7633333333333","22.3333333333333"
"01/02/2022 12:00:00","32.5833333333333","34.1666666666667","21.25","386.583333333333","20.8241666666667","22.265"
"01/02/2022 13:00:00","19.0833333333333","20.3333333333333","21.75","391.666666666667","23.25","19.1266666666667"
"01/02/2022 14:00:00","36.1538461538462","37.6923076923077","20.9230769230769","392.384615384615","24.8861538461538","17.4907692307692"
"01/02/2022 15:00:00","51.6666666666667","53.5","21.6666666666667","394.25","25.7658333333333","15.8991666666667"
